date,timestamp,id,pkt,rssi,ax,ay,az,gx,gy,gz,gx_diff,gy_diff,gz_diff
25/06/2024 11:42,943 # timestamp: 85564336963488,81204,19921, RSSI: 39,-188,741,705,39,-96,-24,,,
25/06/2024 11:42,048 # timestamp: 85568631799721,81204,19922, RSSI: 4,-187,741,706,4,-87,-26,,,
25/06/2024 11:42,155 # timestamp: 85572927094697,81204,19923, RSSI: 20,-185,741,699,20,-87,-21,,,
25/06/2024 11:42,262 # timestamp: 85577222061993,81204,19924, RSSI: 23,-186,739,700,23,-87,-21,,,
25/06/2024 11:42,369 # timestamp: 85581517356967,81204,19925, RSSI: 26,-185,736,706,26,-89,-16,,,
25/06/2024 11:42,475 # timestamp: 85585812193185,81204,19926, RSSI: 32,-186,738,704,32,-95,-18,,,
25/06/2024 11:42,583 # timestamp: 85590106898340,81204,19927, RSSI: 33,-187,741,703,33,-92,-22,,,
25/06/2024 11:42,688 # timestamp: 85594402127790,81204,19928, RSSI: 18,-185,736,708,18,-82,-18,,,
25/06/2024 11:42,796 # timestamp: 85598697160618,81204,19929, RSSI: 23,-184,735,707,23,-86,-17,,,
25/06/2024 11:42,904 # timestamp: 85602991734692,81204,19930, RSSI: 33,-186,740,702,33,-92,-23,,,
25/06/2024 11:42,009 # timestamp: 85607287095209,81204,19931, RSSI: 34,-186,737,703,34,-87,-17,,,
25/06/2024 11:42,117 # timestamp: 85611582193572,81204,19932, RSSI: 42,-186,738,706,42,-92,-15,,,
25/06/2024 11:42,222 # timestamp: 85615876898722,81204,19933, RSSI: 29,-185,741,708,29,-94,-19,,,
25/06/2024 11:42,330 # timestamp: 85620171669413,81204,19934, RSSI: 12,-185,737,705,12,-91,-22,,,
25/06/2024 11:42,437 # timestamp: 85624466636711,81204,19935, RSSI: 24,-186,737,705,24,-89,-22,,,
25/06/2024 11:42,543 # timestamp: 85628761931689,81204,19936, RSSI: 26,-184,736,704,26,-87,-17,,,
25/06/2024 11:42,650 # timestamp: 85633056505764,81204,19937, RSSI: 21,-186,737,703,21,-92,-23,,,
25/06/2024 11:42,758 # timestamp: 85637351473070,81204,19938, RSSI: 16,-185,738,696,16,-82,-23,,,
25/06/2024 11:42,865 # timestamp: 85641646964651,81204,19939, RSSI: 28,-184,736,694,28,-85,-15,,,
25/06/2024 11:42,972 # timestamp: 85645942128543,81204,19940, RSSI: 60,-185,738,699,60,-97,-12,,,
25/06/2024 11:42,078 # timestamp: 85650237030304,81204,19941, RSSI: 57,-186,740,700,57,-96,-13,,,
25/06/2024 11:42,184 # timestamp: 85654531604397,81204,19942, RSSI: 4,-187,738,709,4,-83,-19,,,
25/06/2024 11:42,292 # timestamp: 85658826244009,81204,19943, RSSI: 22,-186,740,707,22,-87,-24,,,
25/06/2024 11:42,399 # timestamp: 85663121407912,81204,19944, RSSI: 26,-186,738,704,26,-88,-21,,,
25/06/2024 11:42,504 # timestamp: 85667416702886,81204,19945, RSSI: 39,-185,735,703,39,-90,-16,,,
25/06/2024 11:42,612 # timestamp: 85671711735717,81204,19946, RSSI: 43,-185,738,706,43,-91,-15,,,
25/06/2024 11:42,720 # timestamp: 85676006375332,81204,19947, RSSI: 24,-186,737,709,24,-92,-20,,,
25/06/2024 11:42,826 # timestamp: 85680301146020,81204,19948, RSSI: 21,-185,737,708,21,-92,-23,,,
25/06/2024 11:42,933 # timestamp: 85684596309929,81204,19949, RSSI: 28,-186,739,707,28,-87,-20,,,
25/06/2024 11:42,039 # timestamp: 85688891342761,81204,19950, RSSI: 35,-185,736,707,35,-87,-19,,,
25/06/2024 11:42,147 # timestamp: 85693186310051,81204,19951, RSSI: 32,-186,738,704,32,-93,-19,,,
